Name,Status,District,Temperature - celcius,Precipitation (mm),Humidity (%),Approx. NDVI Value,Soil Moisture (%),Cloud Cover (%),Dew Point (°F),Evapotranspiration (mm/day),Solar Radiation (W/m²)
Abiramam,Town Panchayat,Ramanathapuram,33,900,78,0.65,22,45,64,4.0,540
Acharapakkam,Town Panchayat,Kanchipuram,31,800,72,0.62,25,50,64,4.0,550
Achipatti,Census Town,Coimbatore,34,700,74,0.60,23,42,63,4.2,530
Adaikkakuzhi,Census Town,Kanniyakumari,33,1000,80,0.67,21,55,64,4.1,535
Adikaratti,Town Panchayat,The Nilgiris,19,900,75,0.58,25,60,63,4.3,520
Adiramapattinam (Adirampattinam),Town Panchayat,Thanjavur,32,950,77,0.55,23,65,64,4.0,530
Adiyanuthu,Census Town,Dindigul,31,800,73,0.63,24,40,63,4.2,540
Aduthurai (Maruthuvakudi),Town Panchayat,Thanjavur,32,1200,76,0.65,28,47,64,4.1,535
Agaram,Town Panchayat,Dindigul,31,900,74,0.58,20,53,61,4.4,530
Agastheeswaram,Town Panchayat,Kanniyakumari,33,1200,79,0.72,22,70,63,4.3,545
Alagappapuram (Azhagappapuram),Town Panchayat,Kanniyakumari,31,950,75,0.60,25,66,64,4.2,530
Alamathi,Census Town,Thiruvallur,34,700,71,0.65,24,49,63,4.3,540
Alamelumangapuram,Census Town,Vellore,33,800,78,0.55,23,52,64,4.1,550
Alampalayam,Town Panchayat,Namakkal,19,750,73,0.62,21,45,63,4.2,545
Alandur,Municipality,Kanchipuram,32,800,74,0.60,23,57,63,4.3,530
Alanganallur,Town Panchayat,Madurai,31,800,75,0.66,25,50,64,4.4,550
Alangayam,Town Panchayat,Vellore,32,1000,72,0.68,26,48,64,4.1,535
Alangudi,Town Panchayat,Pudukkottai,31,850,77,0.64,24,51,63,4.2,540
Alangulam,Census Town,Virudhunagar,32,950,74,0.62,22,60,64,4.2,545
Alangulam,Town Panchayat,Tirunelveli,32,950,74,0.63,23,55,63,4.2,550
Alanthurai,Town Panchayat,Coimbatore,33,750,72,0.59,24,62,64,4.3,545
Alapakkam,Census Town,Kanchipuram,31,700,76,0.57,22,54,63,4.4,545
Allapuram,Town Panchayat,Vellore,35,850,73,0.60,24,46,63,4.2,530
Alur (Aloor),Town Panchayat,Kanniyakumari,33,800,78,0.67,27,58,61,4.3,520
Alwarkurichi,Town Panchayat,Tirunelveli,31,700,75,0.55,25,63,64,4.1,535
Alwarthirunagiri,Town Panchayat,Thoothukkudi,31,900,72,0.62,23,50,64,4.3,530
Amathur,Census Town,Virudhunagar,31,750,75,0.73,24,65,66,4.0,540
Ambasamudram,Municipality,Tirunelveli,31,1100,80,0.50,21,55,63,4.5,530
Ambattur,Municipality,Thiruvallur,31,1000,71,0.57,22,55,64,4.2,530
Ambur,Municipality,Vellore,31,1000,73,0.61,24,50,63,4.1,545
Ammainaickanur,Town Panchayat,Dindigul,31,750,70,0.66,21,45,61,4.0,535
Ammanur,Census Town,Vellore,31,850,72,0.63,22,52,64,4.1,540
Ammapattinam,Census Town,Pudukkottai,33,950,79,0.58,24,60,63,4.2,545
Ammapettai,Town Panchayat,Erode,32,900,76,0.62,23,48,63,4.1,545
Ammapettai,Town Panchayat,Thanjavur,32,900,76,0.64,22,49,61,4.1,530
Ammavarikuppam,Census Town,Thiruvallur,31,800,74,0.56,24,47,64,4.3,550
Ammoor,Town Panchayat,Vellore,31,1000,72,0.68,21,53,64,4.2,520
Anaimalai,Town Panchayat,Coimbatore,33,1100,73,0.62,22,65,63,4.0,535
Anaiyur,Municipality,Madurai,33,950,74,0.65,23,58,63,4.2,530
Anaiyur,Census Town,Virudhunagar,33,950,74,0.65,21,57,64,4.2,540
Anakaputhur,Municipality,Kanchipuram,33,750,72,0.59,25,50,63,4.1,545
Ananthapuram,Town Panchayat,Viluppuram,33,800,75,0.60,23,55,63,4.2,530
Andankoil East,Census Town,Karur,34,850,74,0.66,22,62,64,4.3,550
Andipalayam,Census Town,Tiruppur,33,700,73,0.65,23,48,63,4.0,530
Andipatti Jakkampatti,Town Panchayat,Theni,33,850,77,0.66,24,60,64,4.2,540
Anjugrammam (Anjugramam),Town Panchayat,Kanniyakumari,33,950,70,0.63,23,65,63,4.1,545
Annalagraharam,Census Town,Thanjavur,33,750,73,0.60,22,50,61,4.0,530
Annamalai Nagar,Town Panchayat,Cuddalore,33,1000,74,0.62,24,55,66,4.2,540
Annavasal,Town Panchayat,Pudukkottai,33,800,75,0.58,23,52,63,4.1,545
Annur,Town Panchayat,Coimbatore,33,750,70,0.65,22,45,61,4.2,540
Anthiyur,Town Panchayat,Erode,33,800,75,0.60,25,50,64,4.3,550
Anuppankulam,Census Town,Virudhunagar,31,700,70,0.62,23,47,63,4.0,530
Appakudal,Town Panchayat,Erode,32,850,75,0.63,21,58,64,4.1,535
Arachalur,Town Panchayat,Erode,33,700,72,0.65,25,55,66,4.2,540
Arakandanallur,Town Panchayat,Viluppuram,33,750,73,0.60,23,60,61,4.3,545
Arakonam (Arakkonam),Municipality,Vellore,34,900,76,0.58,24,65,63,4.1,530
Aralvaimozhi,Town Panchayat,Kanniyakumari,32,1200,80,0.70,28,70,64,4.0,520
Arani,Town Panchayat,Thiruvallur,33,950,74,0.62,20,53,63,4.3,550
Arani (Arni),Municipality,Tiruvannamalai,33,900,74,0.59,22,52,63,4.2,540
Aranthangi,Municipality,Pudukkottai,32,1000,78,0.63,25,55,64,4.4,560
Arasiramani,Town Panchayat,Salem,31,850,72,0.65,24,50,63,4.2,535
Arasur,Census Town,Coimbatore,33,900,74,0.61,23,52,64,4.1,530
Aravakurichi,Town Panchayat,Karur,33,750,71,0.64,21,45,64,4.3,545
Aravankad (Aruvankadu),Township,The Nilgiris,33,1000,77,0.60,23,68,64,4.2,540
Arcot,Municipality,Vellore,34,800,72,0.57,25,60,63,4.4,560
Arimalam,Town Panchayat,Pudukkottai,33,750,74,0.59,26,55,63,4.1,530
Ariyalur,Municipality,Ariyalur,33,1100,79,0.68,24,57,64,4.3,550
Ariyappampalayam,Town Panchayat,Erode,33,950,76,0.62,22,48,63,4.0,520
Ariyur,Census Town,Vellore,32,850,73,0.63,23,50,64,4.2,535
Arumanai,Town Panchayat,Kanniyakumari,33,800,71,0.64,24,62,66,4.1,530
Arumbanur,Census Town,Madurai,33,1000,76,0.67,22,53,64,4.2,540
Arumbavur,Town Panchayat,Perambalur,32,850,73,0.62,24,58,63,4.3,545
Arumuganeri,Town Panchayat,Thoothukkudi,33,800,72,0.65,27,60,64,4.4,560
Aruppukkottai,Municipality,Virudhunagar,33,1100,80,0.61,25,63,61,4.3,550
Asaripallam,Town Panchayat,Kanniyakumari,33,700,70,0.66,23,65,63,4.1,530
Ashokapuram,Census Town,Coimbatore,32,750,72,0.58,24,55,64,4.0,520
Athani,Town Panchayat,Erode,32,750,71,0.60,21,47,61,4.2,535
Athanur,Town Panchayat,Namakkal,33,800,73,0.61,22,48,63,4.3,550
Athimarapatti,Census Town,Thoothukkudi,31,900,75,0.63,24,50,64,4.0,520
Athipatti,Census Town,Virudhunagar,32,950,75,0.62,21,52,63,4.1,530
Athipattu,Census Town,Thiruvallur,32,950,75,0.59,22,53,63,4.2,540
Athivilai,Census Town,Kanniyakumari,31,1000,77,0.66,24,60,64,4.3,550
Athur,Town Panchayat,Thoothukkudi,33,950,74,0.60,23,55,61,4.1,530
Athur,Town Panchayat,Kanniyakumari,33,950,74,0.61,22,57,63,4.1,530
Attayampatti,Town Panchayat,Salem,33,800,72,0.65,24,50,63,4.2,535
Attur,Municipality,Salem,34,900,73,0.55,21,58,61,4.3,550
Avadattur,Census Town,Salem,32,850,71,0.60,22,60,64,4.0,520
Avadi,Municipality,Thiruvallur,33,950,73,0.56,23,52,63,4.2,540
Avalapalli,Census Town,Krishnagiri,33,800,70,0.63,21,50,63,4.3,545
Avalpoondurai,Town Panchayat,Erode,33,850,72,0.61,25,47,63,4.1,530
Avanashi (Avinashi),Town Panchayat,Tiruppur,33,1000,77,0.62,23,55,64,4.3,545
Avaniapuram,Municipality,Madurai,31,850,72,0.63,22,53,63,4.2,535
A. Vellalapatti (Vellalapatti),Town Panchayat,Madurai,33,800,70,0.60,23,49,61,4.0,520
Ayacode,Census Town,Kanniyakumari,31,900,73,0.62,24,62,64,4.1,530
Ayakudi,Town Panchayat,Dindigul,32,800,72,0.65,23,58,17,4.3,545
Ayappakkam,Census Town,Thiruvallur,32,850,74,0.60,22,50,63,4.2,535
Aygudi,Town Panchayat,Tirunelveli,32,800,72,0.59,24,52,63,4.3,540
Ayothiapattinam,Town Panchayat,Salem,32,1000,77,0.62,23,55,64,4.0,520
Ayyalur,Town Panchayat,Dindigul,32,750,70,0.64,22,60,64,4.2,535
Ayyampalayam,Town Panchayat,Dindigul,28,980,72,0.45,25,57,65,4.2,580
Ayyampettai,Census Town,Kanchipuram,29,1050,74,0.48,27,50,66,4.1,575
Ayyampettai,Town Panchayat,Thanjavur,29,1020,75,0.48,27,48,67,4.3,590
Ayyappanthangal,Census Town,Kanchipuram,28,750,76,0.50,23,53,64,4.0,600
Azhagiapandipuram (Azhagiapandiapuram),Town Panchayat,Kanniyakumari,30,1190,73,0.55,24,65,65,4.2,570
Balakrishnampatti,Town Panchayat,Tiruchirappalli,28,920,72,0.52,26,52,66,4.1,585
Balakrishnapuram,Census Town,Dindigul,29,870,71,0.50,25,48,67,4.4,580
Balasamudram,Town Panchayat,Dindigul,29,1090,68,0.53,28,55,63,4.3,595
Bargur,Town Panchayat,Krishnagiri,27,1250,74,0.48,23,58,64,4.2,610
Batlagundu,Town Panchayat,Dindigul,25,1180,70,0.62,27,60,65,4.3,605
Belur,Town Panchayat,Salem,29,970,72,0.60,25,50,66,4.1,615
Bhavani,Municipality,Erode,30,890,73,0.52,24,55,67,4.2,620
Bhavanisagar,Town Panchayat,Erode,31,1050,78,0.60,23,52,64,4.3,600
Bhuvanagiri,Town Panchayat,Cuddalore,30,1240,80,0.60,25,60,61,4.4,610
Bikketti,Town Panchayat,The Nilgiris,27,1320,72,0.45,26,68,62,4.1,580
B.Mallapuram,Town Panchayat,Dharmapuri,28,860,74,0.48,25,50,65,4.2,575
B. Meenakshipuram,Town Panchayat,Theni,29,1010,75,0.52,24,48,66,4.2,590
Bodinayakanur (Bodinayakkanur),Municipality,Theni,32,1340,76,0.55,26,55,67,4.2,605
Boothapandi,Town Panchayat,Kanniyakumari,30,1080,73,0.50,23,58,65,4.3,590
Boothipuram,Town Panchayat,Theni,30,920,72,0.50,23,57,66,4.4,580
Brahmana Periya Agraharam,Town Panchayat,Erode,28,970,74,0.50,24,50,64,4.2,600
Chakkarapalli,Census Town,Thanjavur,29,1020,72,0.55,25,53,65,4.3,585
Chathirareddipatti,Census Town,Virudhunagar,28,840,71,0.50,23,50,66,4.1,590
Chatrapatti,Census Town,Virudhunagar,29,950,75,0.53,25,52,67,4.3,605
Chenbagaramanputhur,Census Town,Kanniyakumari,29,1110,78,0.60,24,60,66,4.0,590
Chengalpattu,Municipality,Kanchipuram,32,780,71,0.60,23,62,65,4.5,610
Chengam,Town Panchayat,Tiruvannamalai,30,1050,70,0.50,26,58,64,4.2,600
Chengappalli,Census Town,Tiruppur,30,870,72,0.48,23,55,63,4.1,615
Chennagiri,Census Town,Salem,28,940,82,0.55,27,50,70,4.0,605
Chennai [Madras],Municipal Corporation,Chennai,30,1350,73,0.60,23,65,65,4.1,620
Chennasamudram,Town Panchayat,Erode,28,900,72,0.55,24,55,66,4.2,600
Chennimalai,Town Panchayat,Erode,30,960,75,0.55,25,53,67,4.1,605
Cheranmadevi,Town Panchayat,Tirunelveli,29,1150,74,0.52,23,50,64,4.1,590
Chetpet (Chettupattu),Town Panchayat,Tiruvannamalai,30,920,72,0.48,24,52,65,4.3,600
Chettiarpatti,Town Panchayat,Virudhunagar,28,880,71,0.50,25,50,66,4.2,595
Chettinaickenpatti,Census Town,Dindigul,29,1010,73,0.53,26,48,67,4.0,590
Chettipalayam,Census Town,Tiruppur,30,890,74,0.45,23,55,65,4.2,605
Chettipalayam,Town Panchayat,Coimbatore,30,920,79,0.45,23,53,66,4.2,600
Chettithangal,Census Town,Vellore,28,860,79,0.50,24,50,67,4.3,620
Chidambaram,Municipality,Cuddalore,32,1420,74,0.60,25,60,65,4.4,610
Chidambaram Nm,Census Town,Cuddalore,31,1380,72,0.60,24,62,66,4.1,600
Chinna Anuppanadi,Census Town,Madurai,29,960,71,0.45,23,58,64,4.2,605
Chinnakalayamputhur,Census Town,Dindigul,29,1050,73,0.50,25,55,65,4.2,600
Chinnakkampalayam,Town Panchayat,Tiruppur,30,930,74,0.48,26,50,67,4.2,615
Chinnalapatti,Town Panchayat,Dindigul,29,870,71,0.50,25,52,66,4.3,620
Chinnamanur,Municipality,Theni,31,1120,72,0.48,23,60,64,4.4,610
Chinnampalayam (Chinniampalayam),Census Town,Coimbatore,30,940,73,0.50,24,55,65,4.2,595
Chinnamudalaipatti,Census Town,Namakkal,28,880,78,0.53,25,50,66,4.3,625
Chinnasalem,Town Panchayat,Viluppuram,30,1000,72,0.52,24,53,67,4.1,580
Chinnasekkadu,Town Panchayat,Thiruvallur,29,1020,73,0.50,23,50,66,4.3,570
Chinnathadagam,Census Town,Coimbatore,28,940,72,0.45,24,48,64,4.0,615
Chinnavedampatti,Town Panchayat,Coimbatore,30,870,71,0.48,25,55,65,4.5,605
Chinniam palayam,Census Town,Coimbatore,30,990,78,0.45,23,53,66,4.2,610
Chithode,Town Panchayat,Erode,30,1040,75,0.52,25,50,67,4.1,620
Chitlapakkam,Town Panchayat,Kanchipuram,29,940,76,0.60,23,60,68,4.0,630
Cholapuram,Town Panchayat,Thanjavur,31,870,70,0.53,24,62,65,4.1,635
Choozhal,Census Town,Kanniyakumari,28,1130,80,0.45,25,58,64,4.2,585
Coimbatore,Municipal Corporation,Coimbatore,30,1380,82,0.62,27,55,67,4.1,620
Colachel (Kolachal),Municipality,Kanniyakumari,31,1520,79,0.55,24,50,70,4.1,580
Coonoor,Municipality,The Nilgiris,25,1490,81,0.68,26,52,63,4.3,615
Courtalam (Courtallam),Town Panchayat,Tirunelveli,28,1450,72,0.70,23,60,68,4.2,600
Cuddalore,Municipality,Cuddalore,31,1370,78,0.58,25,65,69,4.0,625
Dalavaipatti,Census Town,Salem,29,1040,72,0.52,23,55,65,4.2,610
Damalerimuthur,Census Town,Vellore,30,870,70,0.50,23,50,64,4.2,620
Dasanaickenpatti,Census Town,Salem,29,920,73,0.53,24,52,66,4.1,630
Denkanikottai,Town Panchayat,Krishnagiri,30,1110,75,0.48,23,60,63,4.2,580
Desur,Town Panchayat,Tiruvannamalai,28,890,74,0.45,25,55,65,4.3,605
Devadanapatti,Town Panchayat,Theni,29,1040,80,0.50,24,50,66,4.0,590
Devakottai,Municipality,Sivaganga,30,930,78,0.55,23,53,67,4.2,580
Devarshola,Town Panchayat,The Nilgiris,31,1200,77,0.52,25,50,63,4.1,600
Devasthanam,Census Town,Vellore,29,1020,79,0.48,23,48,65,4.0,585
Devikapuram,Census Town,Tiruvannamalai,30,960,72,0.50,24,55,66,4.2,590
Devipattinam,Census Town,Ramanathapuram,32,1350,72,0.45,23,53,68,4.1,605
Dhalavoipuram,Census Town,Virudhunagar,30,860,71,0.52,23,50,66,4.2,590
Dhali,Town Panchayat,Tiruppur,28,1220,78,0.50,24,60,64,4.3,610
Dhaliyur,Town Panchayat,Coimbatore,29,880,74,0.48,23,62,65,4.0,600
Dharamapuram,Census Town,Kanniyakumari,30,940,72,0.53,25,58,66,4.1,615
Dharapadavedu,Municipality,Vellore,28,1000,78,0.48,23,55,67,4.2,605
Dharapuram,Municipality,Tiruppur,31,1020,70,0.50,24,50,66,4.3,620
Dharasuram (Darasuram),Town Panchayat,Thanjavur,30,930,72,0.53,25,52,67,4.1,600
Dharmapuri,Municipality,Dharmapuri,30,890,71,0.55,23,60,65,4.0,605
Dindigul,Municipality,Dindigul,31,1380,74,0.60,27,65,66,4.3,590
Doramangalam,Census Town,Salem,29,850,71,0.50,23,55,65,4.2,600
Dusi,Census Town,Tiruvannamalai,30,920,80,0.45,24,50,64,4.4,595
Edaganasalai,Town Panchayat,Salem,28,960,78,0.52,23,52,66,4.2,590
Edaicode (Edaikodu),Town Panchayat,Kanniyakumari,29,1340,72,0.50,24,60,70,4.1,605
Edakalinadu,Town Panchayat,Kanchipuram,28,1220,78,0.48,25,55,68,4.3,600
Edappadi,Municipality,Salem,30,1010,74,0.50,23,50,66,4.2,620
Edayanchavadi,Census Town,Thiruvallur,29,880,73,0.48,24,53,67,4.4,610
Elathur,Town Panchayat,Erode,28,970,74,0.55,23,50,65,4.1,600
Elayirampannai,Census Town,Virudhunagar,30,860,72,0.45,23,48,66,4.3,605
Ellakkudy,Census Town,Tiruchirappalli,29,930,74,0.50,24,55,67,4.0,520
Ellandaikuttai,Census Town,Namakkal,28,870,78,0.48,25,53,66,4.2,500
Elumalai,Town Panchayat,Madurai,29,980,72,0.52,23,50,64,4.1,510
Eral,Town Panchayat,Thoothukkudi,30,1150,79,0.45,23,60,68,4.2,560
Eranapuram,Census Town,Salem,28,1080,72,0.50,24,62,66,4.3,580
Eraniel,Town Panchayat,Kanniyakumari,29,1250,70,0.48,23,58,70,4.4,520
Eriodu (Eriyodu),Town Panchayat,Dindigul,30,930,72,0.45,23,55,66,4.3,560
Erode,Municipal Corporation,Erode,30,1410,72,0.60,25,50,67,4.1,600
Erumaipatti,Town Panchayat,Namakkal,29,1020,72,0.50,23,52,65,4.0,530
Erumapalayam,25-32%,Salem,29,1450,74,0.55,25,50,70,4.2,535
Eruvadi,23-30%,Tirunelveli,30,1210,71,0.52,23,55,65,4.3,540
Ethapur,22-29%,Salem,30,960,73,0.48,22,52,68,4.0,545
Ettayapuram,24-33%,Thoothukkudi,31,780,72,0.53,24,60,66,4.1,530
Ettimadai,26-33%,Coimbatore,30,850,75,0.60,26,58,67,4.2,520
Ezhudesam,23-31%,Kanniyakumari,29,1120,74,0.50,23,62,65,4.3,550
Ganapathipuram,22-29%,Kanniyakumari,30,1080,73,0.50,22,55,69,4.1,540
Gandhinagar,27-35%,Vellore,31,650,72,0.53,27,50,68,4.1,560
Gandipuram,26-34%,Kanniyakumari,30,920,74,0.55,26,48,66,4.2,535
Gangaikondan,24-32%,Cuddalore,31,1250,71,0.55,24,55,67,4.3,530
Gangavalli,23-30%,Salem,30,1010,72,0.53,23,53,68,4.0,545
Ganguvarpatti,25-33%,Theni,29,880,73,0.52,25,50,65,4.2,540
Gerugambakkam,24-31%,Kanchipuram,30,750,74,0.60,24,60,66,4.3,560
Gingee,25-32%,Viluppuram,31,1140,72,0.55,25,62,67,4.1,530
Gobichettipalayam,23-30%,Erode,30,1080,73,0.52,23,58,65,4.3,550
Gopalasamudram,22-29%,Tirunelveli,29,940,72,0.55,22,55,64,4.2,520
Goundampalayam,24-31%,Coimbatore,30,780,80,0.50,24,50,67,4.0,535
Gudalur,24-31%,The Nilgiris,27,1480,74,0.60,24,52,65,4.1,530
Gudalur (Wayanad),25-34%,Coimbatore,27,1250,78,0.60,25,60,63,4.2,540
Gudiyatham,22-29%,Theni,27,1110,72,0.60,22,65,63,4.3,545
Gummidipoondi,23-30%,Vellore,30,940,70,0.52,23,55,63,4.4,560
Gunduuppalavadi,25-32%,Thiruvallur,30,620,72,0.50,25,50,66,4.1,550
Hale-Dharmapuri,24-31%,Cuddalore,29,1150,71,0.48,24,52,68,4.2,530
Hanumanthampatti,23-30%,Dharmapuri,30,870,73,0.50,23,60,66,4.2,520
Harur,24-32%,Theni,29,1020,72,0.45,24,55,65,4.2,535
Harveypatti,22-28%,Dharmapuri,29,760,70,0.53,22,50,66,4.3,550
Highways,24-31%,Madurai,30,930,80,0.52,24,53,65,4.4,520
Hosur,26-35%,Theni,31,520,80,0.45,26,50,67,4.2,530
Hubbathala,23-30%,Krishnagiri,29,1280,72,0.58,23,48,67,4.3,530
Huligal,22-29%,The Nilgiris,28,1080,71,0.50,22,55,64,4.1,535
Idikarai,25-33%,The Nilgiris,30,1320,72,0.45,25,53,62,4.3,540
Iduvai,24-31%,Coimbatore,30,910,75,0.55,24,50,61,4.0,545
Ilampillai,23-30%,Tiruppur,29,720,74,0.53,23,60,66,4.5,530
Ilanji,24-32%,Salem,30,860,73,0.50,24,62,65,4.2,520
Ilayangudi,23-30%,Tirunelveli,29,1010,72,0.52,23,58,66,4.1,550
Iluppaiyurani,22-29%,Sivaganga,30,1240,71,0.53,22,55,67,4.0,540
Iluppur,23-31%,Thoothukkudi,29,950,72,0.50,23,50,68,4.1,560
Inam Karur,22-30%,Pudukkottai,30,860,78,0.52,22,52,65,4.2,535
Inam Maniyachi,23-29%,Karur,29,1030,73,0.55,23,60,66,4.1,530
Injambakkam,24-31%,Thoothukkudi,30,770,72,0.45,24,65,67,4.1,545
Iravadanallur,22-30%,Kanchipuram,30,650,70,0.55,22,55,68,4.3,540
Irugur,23-30%,Madurai,29,920,80,0.52,23,50,70,4.2,560
Jaffrabad,25-33%,Coimbatore,29,1050,72,0.50,25,52,66,4.0,530
Jagathala,22-29%,Vellore,30,720,74,0.45,22,60,67,4.2,550
Jalakandapuram,23-31%,The Nilgiris,29,1480,72,0.52,23,55,68,4.2,520
Jalladiampet,22-30%,Salem,30,860,74,0.50,22,50,63,4.1,535
Jambai,24-32%,Kanchipuram,30,640,72,0.45,24,53,65,4.2,530
Jayankondam,23-30%,Erode,29,900,73,0.55,23,50,67,4.3,540
Jolarpet,24-32%,Ariyalur,30,1130,74,0.52,24,60,66,4.0,545
Kadambathur,23-31%,Vellore,31,1020,72,0.53,23,62,68,4.2,560
Kadambur,24-32%,Thiruvallur,30,780,71,0.50,24,58,66,4.1,550
Kadaparai,22-29%,Thoothukkudi,30,860,75,0.52,22,55,69,4.0,530
Kadathur,23-31%,Karur,29,1040,74,0.45,23,50,66,4.2,520
Kadayal,22-29%,Dharmapuri,30,650,72,0.53,22,52,67,4.1,535
Kadayam,24-31%,Kanniyakumari,30,940,73,0.50,24,60,66,4.2,550
Kadayampatti,23-30%,Tirunelveli,30,1210,74,0.45,23,62,67,4.3,520
Kadayanallur,22-30%,Salem,29,860,72,0.50,22,58,66,4.0,530
Kadhirvedu,23-31%,Tirunelveli,30,1170,73,0.48,23,55,67,4.1,530
Kailasagiri,22-30%,Thiruvallur,29,750,75,0.53,22,50,65,4.2,535
Kakkalur,23-29%,Vellore,28,650,72,0.60,23,52,66,4.3,540
Kalakad,23-30%,Thiruvallur,30,920,71,0.50,23,60,67,4.1,545
Kalambur,24-31%,Tirunelveli,28,1010,72,0.58,24,65,66,4.0,530
Kalapatti,23-30%,Tiruvannamalai,30,740,73,0.52,23,55,65,4.3,520
Kalappanaickenpatti,24-31%,Coimbatore,30,860,72,0.50,24,50,67,4.2,550
Kalavai,23-29%,Namakkal,29,1020,75,0.52,23,52,70,4.4,540
Kalinjur,22-30%,Vellore,30,650,74,0.48,22,60,68,4.2,560
Kaliyakkavilai,24-32%,Vellore,30,930,73,0.50,24,55,67,4.1,535
Kalladaikurichi,23-30%,Kanniyakumari,30,1150,74,0.55,23,50,65,4.3,530
Kallakkurichi,24-32%,Tirunelveli,30,1230,72,0.48,24,53,66,4.2,545
Kallakudi,23-29%,Viluppuram,30,1050,73,0.53,23,50,65,4.4,540
Kallangudy,23-30%,Tiruchirappalli,29,860,72,0.52,23,60,66,4.1,560
Kallukuttam,22-29%,Pudukkottai,30,970,73,0.50,22,62,68,4.3,530
Kalparapatti,23-30%,Kanniyakumari,30,780,72,0.48,23,58,70,4.0,550
Kalugumalai,22-30%,Salem,30,1040,71,0.53,22,55,66,4.2,520
Kamayagoundanpatti,23-30%,Thoothukkudi,30,1210,74,0.50,23,50,68,4.1,535
Kambainallur,24-32%,Theni,30,970,73,0.45,24,52,67,4.2,530
Kambam,23-30%,Dharmapuri,30,860,74,0.52,23,60,66,4.3,540
Kamuthi,24-32%,Theni,30,1490,72,0.58,24,65,68,4.4,545
Kanadukathan,23-30%,Ramanathapuram,30,1160,72,0.60,23,55,66,4.3,560
Kanakkampalayam,23-29%,Sivaganga,30,770,74,0.50,23,50,67,4.1,550
Kanam,24-32%,Tiruppur,30,880,75,0.52,24,52,65,4.0,530
